{NN_}{VBD_}	sup=81
{NN_ beast}{NNS_}	sup=2
{NN_ beast}{VBD_}	sup=2
{NN_ none}{RB_}{VB_}	sup=2
{NN_ none}{RB_}{know}	sup=2
{NN_ none}{RB_ ever}	sup=2
{NN_ creature}	sup=2
{NN_ sky}{NN_ burn}{NN_ blood}{NN_ night}	sup=2
{NN_ monkey}{NN_}	sup=2
{NN_ hair}	sup=2
{NN_ tavern}{RB_}	sup=2
{NN_ wench}{NN_ side}{NN_ jug}{NN_ mead}	sup=2
{NN_ nancy}{NN_ harbour}{NN_}	sup=2
{NN_ den}{NN_}{NN_ violence}{NN_ sin}	sup=2
{NN_ drink}{NN_ party}{NN_ night}{RB_ long}	sup=2
{NN_ regret}{NN_}	sup=2
{NN_ show}{NN_ mercy}{NN_ fight}	sup=2
{NN_ lust}{NN_ gold}{NN_ power}{NN_ steel}	sup=2
{NN_ bounty}{NN_}	sup=2
{NN_ hook}{NN_}	sup=2
{NN_ sailing}{NNS_ ocean}{NNS_ sea}	sup=2
{NN_ power}{NN_ ale}{MD_ could}{VB_ fail}	sup=2
{NN_ heart}{NN_ battle}{NN_ ride}{NNS_ god}{NN_ side}	sup=2
{NN_ sight}	sup=2
{NN_ quarry}	sup=2
{NN_ price}	sup=2
{NN_ reign}{NN_ terror}{NNS_}	sup=2
{NN_ legacy}{VBP_ torment}{RB_ rightfully}{VB_ take}	sup=2
{NN_ reason}	sup=2
{viking NNS_}{VBD_}{NN_}	sup=2
{NNS_}{NN_}{NN_}{NNS_}	sup=2
{NNS_}{NN_}{NN_}{JJ_}	sup=2
{NNS_}{NN_}{NN_}{VBN_}	sup=2
{NNS_}{NN_}{NN_ time}	sup=2
{NNS_}{NN_}{JJ_}{NN_}	sup=2
{NNS_}{NN_}{come}	sup=2
{NNS_}{NN_}{VBD_}{NN_}	sup=2
{NNS_}{NN_}{VBD_}{JJ_}	sup=2
{NNS_}{NN_}{VB_}	sup=2
{NNS_}{NN_}{RB_}	sup=2
{NNS_}{NN_}{MD_}	sup=2
{NNS_}{NN_ fight}	sup=2
{NNS_}{NN_ sail}	sup=2
{NNS_}{NN_ hell}{VBD_}	sup=2
{NNS_}{NN_ glory}	sup=2
{NNS_}{NNS_}{NN_ blood}	sup=2
{NNS_}{NNS_}{dare}	sup=2
{NNS_}{JJ_}{NN_}{NNS_}	sup=2
{NNS_}{JJ_}{NN_}{VBP_}	sup=2
{NNS_}{JJ_}{NNS_}{VBD_}	sup=2
{NNS_}{JJ_}{shore}	sup=2
{NNS_}{JJ_ dead}{NN_}	sup=2
{NNS_}{VBD_}{JJ_}{NNS_}{NN_}	sup=2
{NNS_}{VBD_}{JJ_ black}	sup=2
{NNS_}{VBD_}{VBG_}{NN_}	sup=2
{NNS_}{VBD_}{sail}	sup=2
{NNS_}{VBD_ rule}{NN_ land}{sea}	sup=2
{NNS_}{VBD_ lose}	sup=2
{NNS_}{VBD_ shake}	sup=2
{NNS_}{sea}{NN_}	sup=2
{NNS_}{sea}{VBD_}	sup=2
{NNS_}{treasure}	sup=2
{NNS_}{VBN_}{JJ_}	sup=2
{NNS_}{VBN_}{VBD_}	sup=2
{NNS_}{VBN_ slay}{NNS_}	sup=2
{NNS_}{VBN_ do}	sup=2
{NNS_}{VBP_}{JJ_}{NNS_}	sup=2
{NNS_}{VBP_}{VB_}	sup=2
{NNS_}{VBP_}{RB_}	sup=2
{NNS_}{VBP_ hear}	sup=2
{NNS_}{RB_}{JJ_}{NNS_}	sup=2
{NNS_}{RB_}{RB_}	sup=2
{NNS_}{RB_ behind}	sup=2
{NNS_}{MD_}{VB_}{NN_}	sup=2
{NNS_}{MD_}{VB_}{JJ_}	sup=2
{NNS_}{MD_}{RB_}	sup=2
{NNS_}{MD_ could}{VB_}	sup=2
{NNS_}{CD_}{NN_}	sup=2
{NNS_}{VBG_}{VB_}	sup=2
{NNS_}{get}{JJ_}	sup=2
{NNS_}{get}{drunk}	sup=2
{NNS_}{draw}{NN_}{NN_}	sup=2
{NNS_}{leave}	sup=2
{NNS_}{man}	sup=2
{NNS_}{RBR_}	sup=2
{NNS_}{see}	sup=2
{NNS_}{fall}	sup=2
{NNS_}{buy}	sup=2
{NNS_}{suffer}{MD_ could}	sup=2
{NNS_}{pit}	sup=2
{NNS_ shore}{VBD_}	sup=2
{NNS_ sea}{quest VBP_}{VBN_ begin}	sup=2
{NNS_ sea}{VBD_}{NN_}	sup=2
{NNS_ ship}{NN_}{NN_}	sup=2
{NNS_ cannon}{NN_}	sup=2
{NNS_ cannon}{NNS_ sword}	sup=2
{NNS_ cannon}{VBG_ rage}{NNS_ torch}{RB_ aflame}	sup=2
{NNS_ fear}{VBN_ go}{IN_ till}{NN_ tomorrow}	sup=2
{NNS_ sword}{VBD_}{NN_}	sup=2
{NNS_ man}{NN_ sea}	sup=2
{NNS_ man}{VBD_}	sup=2
{NNS_ yer}{IN_ like}{VBN_ fight}{VBN_ die}	sup=2
{NNS_ mile}	sup=2
{NNS_ piece}{NN_}	sup=2
{NNS_ wench}{NN_ mead}	sup=2
{NNS_ regret}{VBP_ live}{NN_ day}	sup=2
{NNS_ song}	sup=2
{NNS_ thing}{VBP_ need}	sup=2
{NNS_ lot}{NNS_ wench}{VBP_ need}	sup=2
{JJ_}{NN_}{NN_}{NNS_}{VBD_}	sup=2
{JJ_}{NN_}{NN_}{VBP_}	sup=2
{JJ_}{NN_}{NN_}{RB_ ever}{know}	sup=2
{JJ_}{NN_}{NN_ night}	sup=2
{JJ_}{NN_}{NN_ sky}	sup=2
{JJ_}{NN_}{NN_ ale}	sup=2
{JJ_}{NN_}{NNS_}{NN_}{NN_}	sup=2
{JJ_}{NN_}{VBD_}{NNS_}	sup=2
{JJ_}{NN_}{another DT_}{NN_ time}	sup=2
{JJ_}{NN_}{VBN_}{NN_}	sup=2
{JJ_}{NN_}{RB_}{VBN_}	sup=2
{JJ_}{NN_}{MD_ would}{VB_}	sup=2
{JJ_}{NN_}{go}	sup=2
{JJ_}{NN_}{reflect}{NN_}	sup=2
{JJ_}{NN_}{us PP_}{DT_}{NN_}	sup=2
{JJ_}{NN_}{chest}	sup=2
{JJ_}{NN_ shore}	sup=2
{JJ_}{NN_ gold}	sup=2
{JJ_}{NN_ sail}	sup=2
{JJ_}{NN_ life}	sup=2
{JJ_}{NN_ curse}	sup=2
{JJ_}{NN_ chest}{NN_}	sup=2
{JJ_}{NN_ tide}	sup=2
{JJ_}{NN_ crew}	sup=2
{JJ_}{NNS_}{NN_}{NN_}{NN_}	sup=2
{JJ_}{NNS_}{NN_}{VBD_}	sup=2
{JJ_}{NNS_}{NN_}{IN_}	sup=2
{JJ_}{NNS_}{VBD_}{JJ_}{NN_}	sup=2
{JJ_}{NNS_}{VBN_}	sup=2
{JJ_}{NNS_}{VBP_}{NNS_}	sup=2
{JJ_}{NNS_}{RB_ ago}{NN_}	sup=2
{JJ_}{NNS_}{RB_ ago}{JJ_}	sup=2
{JJ_}{NNS_}{MD_}{VB_}	sup=2
{JJ_}{NNS_}{VBG_}{NN_}	sup=2
{JJ_}{NNS_ god}	sup=2
{JJ_}{NNS_ year}{RB_ ago}	sup=2
{JJ_}{NNS_ wind}{NN_ blow}	sup=2
{JJ_}{JJ_}{NN_ land}	sup=2
{JJ_}{JJ_}{JJ_}{NN_}	sup=2
{JJ_}{JJ_ many}	sup=2
{JJ_}{JJ_ full}	sup=2
{JJ_}{VBD_}{go}	sup=2
{JJ_}{VBD_}{us PP_}	sup=2
